Date,Year,Month,CPI,Unemployment (%),Fed Rate (%),Real GDP (Billions in USD),Inflation (% per Year),Home Sales (Billions in USD),Retail Sales (Billions in USD),Industry Production Lag_1,Unemployment Lag_1,YoY Unemployment,Month_Sin,Month_Cos
2017-06-01,2017.0,6.0,244.955,4.3,1.0433333333333332,19660.766,0.7659066006000673,619.0,193992.0,100.25633333333333,4.333333333333333,-0.0784767190872649,1.2246467991473532e-16,-1.0
2017-07-01,2017.0,7.0,244.78599999999997,4.3,1.0966666666666667,19660.766,0.43122075516268504,572.0,193920.0,100.19966666666666,4.3,-0.03689064558629777,-0.4999999999999997,-0.8660254037844388
2017-08-01,2017.0,8.0,245.519,4.4,1.115,19882.352,0.5557930481919267,556.0,193547.0,99.91499999999999,4.35,0.0,-0.8660254037844385,-0.5000000000000004
2017-09-01,2017.0,9.0,246.819,4.3,1.1099999999999999,19882.352,0.9385581783383176,637.0,196499.0,99.7355,4.35,-0.0227272727272728,-1.0,-1.8369701987210294e-16
2017-10-01,2017.0,10.0,246.663,4.2,1.0966666666666667,19882.352,0.7581666630629266,626.0,196605.0,100.621,4.233333333333333,-0.038054968287526435,-0.8660254037844387,0.5000000000000001
2017-11-01,2017.0,11.0,246.669,4.2,1.115,20044.077,0.699720356800228,711.0,198105.0,101.13300000000001,4.2,-0.0232558139534883,-0.5000000000000004,0.8660254037844384
2017-12-01,2017.0,12.0,246.52399999999997,4.1,1.298,20044.077,0.5897395374107187,630.0,199081.0,101.35560000000001,4.119999999999999,-0.0551797040169134,-2.4492935982947064e-16,1.0
2018-01-01,2018.0,1.0,247.867,4.0,1.38,20044.077,0.4246026440428013,590.0,197492.0,101.3665,4.05,-0.0697674418604651,0.4999999999999999,0.8660254037844387
2018-02-01,2018.0,2.0,248.991,4.1,1.385,20150.476,0.943797813210738,618.0,198214.0,101.526,4.05,-0.0238095238095239,0.8660254037844386,0.5000000000000001
2018-03-01,2018.0,3.0,249.554,4.0,1.528,20150.476,1.1938780050604105,679.0,197742.0,102.1646,4.0200000000000005,-0.03832752613240412,1.0,6.123233995736766e-17
