Row Labels,Sum of SrcWgtAvgGoldstein,Sum of SrcWeightAvgTone
4/24/2015,0.571,-1.644
4/25/2015,1.091,-1.714
4/26/2015,0.634,-1.497
4/27/2015,0.795,-1.299
4/28/2015,0.540,-1.636
4/29/2015,0.956,-1.274
4/30/2015,0.936,-1.150
5/1/2015,0.603,-1.511
5/2/2015,0.554,-2.244
5/3/2015,0.202,-1.621
5/4/2015,0.952,-1.347
5/5/2015,1.077,-1.204
5/6/2015,0.740,-1.295
5/7/2015,0.637,-1.619
5/8/2015,0.253,-1.922
5/9/2015,0.709,-1.448
5/10/2015,1.140,-0.862
5/11/2015,1.052,-0.891
5/12/2015,0.756,-1.210
5/13/2015,0.774,-1.253
5/14/2015,0.203,-1.917
5/15/2015,0.885,-1.121
5/16/2015,0.646,-1.613
5/17/2015,0.614,-1.570
5/18/2015,0.753,-1.251
5/19/2015,0.927,-1.000
5/20/2015,0.938,-1.069
5/21/2015,0.699,-1.156
5/22/2015,0.550,-1.582
5/23/2015,0.372,-1.519
5/24/2015,0.211,-2.068
5/25/2015,0.598,-1.275
5/26/2015,0.482,-1.033
5/27/2015,1.068,-1.050
5/28/2015,1.042,-1.182
5/29/2015,1.111,-1.271
5/30/2015,0.753,-1.703
5/31/2015,0.834,-1.590
6/1/2015,0.715,-0.902
6/2/2015,1.009,-1.114
6/3/2015,0.390,-1.446
6/4/2015,0.946,-1.201
6/5/2015,0.942,-1.163
6/6/2015,0.738,-1.598
6/7/2015,0.946,-1.340
6/8/2015,1.155,-1.081
6/9/2015,0.698,-1.082
6/10/2015,1.041,-1.146
6/11/2015,0.911,-1.134
6/12/2015,0.761,-1.352
6/13/2015,0.534,-1.499
6/14/2015,0.211,-1.356
6/15/2015,0.305,-1.819
6/16/2015,0.362,-1.665
6/17/2015,0.496,-1.767
6/18/2015,0.707,-1.661
6/19/2015,0.553,-1.528
6/20/2015,0.485,-1.591
6/21/2015,0.713,-1.385
6/22/2015,0.805,-1.348
6/23/2015,0.409,-1.742
6/24/2015,0.627,-1.377
6/25/2015,1.369,-1.034
6/26/2015,0.921,-1.312
6/27/2015,0.673,-0.896
6/28/2015,0.683,-0.840
6/29/2015,0.720,-1.242
6/30/2015,0.913,-1.213
7/1/2015,0.962,-0.661
7/2/2015,0.921,-1.076
7/3/2015,1.232,-1.004
7/4/2015,0.972,-0.689
7/5/2015,1.093,-0.983
7/6/2015,1.123,-0.612
7/7/2015,1.037,-0.932
7/8/2015,1.163,-1.176
7/9/2015,0.967,-0.975
7/10/2015,0.883,-1.251
7/11/2015,0.609,-1.286
7/12/2015,0.586,-1.431
7/13/2015,0.489,-1.491
7/14/2015,1.072,-1.152
7/15/2015,1.117,-1.010
7/16/2015,0.853,-1.063
7/17/2015,0.820,-1.225
7/18/2015,0.871,-1.367
7/19/2015,0.798,-1.277
7/20/2015,0.817,-1.140
7/21/2015,0.873,-1.113
7/22/2015,0.733,-1.211
7/23/2015,0.924,-1.134
7/24/2015,0.623,-1.375
7/25/2015,0.755,-1.465
7/26/2015,0.800,-1.469
7/27/2015,0.758,-1.533
7/28/2015,0.993,-1.394
7/29/2015,0.837,-1.319
7/30/2015,0.390,-1.525
